specie,A,Aloc,IntraDO,InterDO,E,TR,TRMO
Monticola solitarius,8.35E-09,2.38E-07,0.122807018,0.035087719,0.001024438,0.2,0
Orthetrum coerulescens,4.26E-08,4.85E-07,0.175438596,0.087719298,0.004480351,0.14,0
Oryctes nasicornis,2.57E-09,7.34E-08,0.035087719,0.035087719,0.000733762,0.1,0
Oxythyrea funesta,1.79E-07,7.28E-07,0.912280702,0.245614035,0.00642156,0.185714286,0.007142857
Pluvialis squatarola,7.10E-07,1.93E-06,4.824561404,0.368421053,0.005676193,0.457142857,0.052380952
Prunella modularis,3.60E-07,1.02E-06,1.385964912,0.350877193,0.004249711,0.235,0
Thalasseus sandvicensis,7.87E-07,1.66E-06,4.035087719,0.473684211,0.003618671,0.307407407,0.037037037
Tyto alba,1.20E-08,1.14E-07,0.157894737,0.105263158,0.001136865,0.15,0
Acrocephalus schoenobaenus,1.70E-07,6.47E-07,0.666666667,0.263157895,0.003228958,0.18,0
Agrius convolvuli,1.46E-08,1.67E-07,0.087719298,0.087719298,0.001669495,0.1,0
Amata phegea,2.35E-08,6.70E-07,0.087719298,0.035087719,0.005468191,0.25,0
Ameles spallanzania,8.61E-09,2.45E-07,0.122807018,0.035087719,0.002051199,0.25,0
Anax ephippiger,3.06E-09,5.81E-08,0.052631579,0.052631579,0.000581258,0.1,0
Anthus trivialis,1.12E-07,1.06E-06,0.421052632,0.105263158,0.003696461,0.216666667,0
Argiope lobata,3.26E-09,1.86E-07,0.01754386,0.01754386,0.001857322,0.1,0
Athene noctua,9.56E-08,3.21E-07,0.543859649,0.298245614,0.002440856,0.141176471,0
Botaurus stellaris,1.63E-07,6.65E-07,0.666666667,0.245614035,0.004002928,0.178571429,0.007142857
Calidris alba,1.03E-07,3.67E-07,0.684210526,0.280701754,0.003313888,0.175,0
Calidris ferruginea,3.23E-07,1.08E-06,2.175438596,0.298245614,0.003122745,0.252941176,0.029411765
Callophrys rubi,1.01E-08,1.43E-07,0.122807018,0.070175439,0.001432369,0.125,0
Celastrina argiolus,1.80E-07,1.14E-06,0.684210526,0.157894737,0.009715573,0.155555556,0.022222222
Cerambyx cerdo,3.10E-09,1.77E-07,0.01754386,0.01754386,0.001766387,0.1,0
Certhia brachydactyla,2.99E-07,1.22E-06,1.175438596,0.245614035,0.005546715,0.307142857,0
Chalcolestes parvidens,7.25E-09,4.13E-07,0.01754386,0.01754386,0.004131152,0.1,0
Clangula hyemalis,9.01E-09,1.71E-07,0.087719298,0.052631579,0.001335204,0.1,0
Cornu aspersum,2.21E-08,2.10E-07,0.192982456,0.105263158,0.001690101,0.166666667,0
Corvus corax,3.93E-08,3.20E-07,0.438596491,0.122807018,0.002021546,0.171428571,0.014285714
Emberiza cirlus,1.47E-07,7.63E-07,0.50877193,0.192982456,0.003675798,0.181818182,0
Falco naumanni,1.63E-08,1.86E-07,0.122807018,0.087719298,0.001723616,0.14,0
Gavia stellata,3.31E-08,4.72E-07,0.122807018,0.070175439,0.001621695,0.1,0
Graphosoma italicum,5.38E-08,3.07E-07,0.350877193,0.175438596,0.002459252,0.16,0
Harmonia axyridis,1.91E-07,1.36E-06,1.035087719,0.140350877,0.010434371,0.25,0.0375
Hierophis viridiflavus,4.16E-08,2.37E-07,0.228070175,0.175438596,0.002373659,0.11,0
Hipparchia statilinus,3.92E-09,2.23E-07,0.035087719,0.01754386,0.002232417,0.1,0
Hippolais polyglotta,1.14E-07,5.88E-07,0.684210526,0.192982456,0.003527382,0.218181818,0
Hyphantria cunea,1.32E-08,7.55E-07,0.01754386,0.01754386,0.00754914,0.1,0
Lanius senator,5.43E-08,2.81E-07,0.333333333,0.192982456,0.001946258,0.154545455,0
Linaria cannabina,4.32E-07,1.45E-06,1.964912281,0.298245614,0.005479257,0.282352941,0.029411765
Maniola jurtina,2.71E-07,9.10E-07,1.122807018,0.298245614,0.006121405,0.205882353,0.011764706
Mareca penelope,1.16E-06,2.36E-06,5.526315789,0.49122807,0.006254114,0.339285714,0.060714286
Micropterus salmoides,2.64E-08,1.51E-06,0.087719298,0.01754386,0.012049794,0.3,0
Nomophila noctuella,1.91E-08,2.18E-07,0.140350877,0.087719298,0.001853938,0.12,0
Oedipoda caerulescens,4.19E-08,4.78E-07,0.228070175,0.087719298,0.004393464,0.2,0
Otus scops,4.74E-08,2.70E-07,0.333333333,0.175438596,0.002434459,0.15,0
Pieris brassicae,2.34E-08,2.22E-07,0.105263158,0.105263158,0.002219278,0.1,0
Pieris rapae,7.91E-08,4.10E-07,0.649122807,0.192982456,0.0034825,0.190909091,0.009090909
Polistes dominula,1.34E-08,1.91E-07,0.087719298,0.070175439,0.001707393,0.1,0
Pontia edusa,2.68E-08,1.91E-07,0.228070175,0.140350877,0.001910658,0.15,0
Rana dalmatina,5.73E-09,1.63E-07,0.035087719,0.035087719,0.001632751,0.1,0
Satyrium ilicis,2.27E-08,6.48E-07,0.105263158,0.035087719,0.005253699,0.2,0
Scopula imitaria,9.74E-10,5.55E-08,0.01754386,0.01754386,0.000554989,0.1,0
Sphingonotus personatus,7.72E-09,2.20E-07,0.052631579,0.035087719,0.002199536,0.15,0
Sylvia borin,1.97E-07,1.02E-06,0.614035088,0.192982456,0.004048604,0.209090909,0.009090909
Thomisus onustus,2.57E-08,7.33E-07,0.298245614,0.035087719,0.004915162,0.35,0
Tringa stagnatilis,9.49E-08,4.16E-07,1.333333333,0.228070175,0.002653942,0.246153846,0.023076923
Utetheisa pulchella,1.16E-09,6.63E-08,0.01754386,0.01754386,0.000663302,0.1,0
Vanessa atalanta,3.25E-07,9.75E-07,1.596491228,0.333333333,0.007310165,0.210526316,0.015789474
Vespa crabro,1.20E-07,8.56E-07,0.473684211,0.140350877,0.007877751,0.2,0
Vulpes vulpes,3.74E-08,2.37E-07,0.280701754,0.157894737,0.00221754,0.155555556,0
Acanthocardia tuberculata,6.49E-09,1.23E-07,0.052631579,0.052631579,0.001233582,0.1,0
Acrida ungarica,1.61E-08,1.53E-07,0.140350877,0.105263158,0.001339442,0.1,0
Acrocephalus palustris,8.98E-08,6.40E-07,0.421052632,0.140350877,0.003744685,0.25,0
Aedes albopictus,4.26E-09,1.21E-07,0.035087719,0.035087719,0.001214844,0.1,0
Agelena labyrinthica,9.97E-09,1.89E-07,0.105263158,0.052631579,0.001893464,0.2,0
Aiolopus strepens,1.81E-08,3.43E-07,0.175438596,0.052631579,0.002357012,0.2,0
Alopochen aegyptiaca,5.66E-09,1.61E-07,0.070175439,0.035087719,0.001611867,0.15,0
Ameiurus,7.27E-09,2.07E-07,0.035087719,0.035087719,0.002070848,0.1,0
Anas acuta,8.97E-07,1.89E-06,3.649122807,0.473684211,0.005562992,0.337037037,0.02962963
Anthus cervinus,8.80E-09,1.25E-07,0.070175439,0.070175439,0.001253498,0.1,0
Arachnocephalus vestitus,3.46E-09,1.97E-07,0.01754386,0.01754386,0.00197378,0.1,0
Araneus angulatus,1.65E-08,4.71E-07,0.052631579,0.035087719,0.004714018,0.15,0
Arctia villica,1.52E-08,2.16E-07,0.157894737,0.070175439,0.001960697,0.175,0
Argiope bruennichi,4.40E-08,3.58E-07,0.438596491,0.122807018,0.002861244,0.214285714,0
Asio flammeus,2.59E-08,3.69E-07,0.157894737,0.070175439,0.003491143,0.175,0
Aspitates ochrearia,1.41E-09,8.06E-08,0.01754386,0.01754386,0.000806394,0.1,0
Aythya nyroca,4.16E-07,1.32E-06,1.684210526,0.315789474,0.00339977,0.261111111,0.016666667
Bacillus rossius,1.96E-09,1.12E-07,0.01754386,0.01754386,0.001116209,0.1,0
