specie,a,aloc,intrado,interdo,e,tr,trmo,clusterid,clusterunif
Celastrina argiolus,-0.3847743,-0.04066287,-0.43892536,-0.47704396,1.2326763,-0.69491094,-0.081854165,2,low
Corvus corax,-0.54579926,-0.6891486,-0.48974511,-0.6415745,-0.81330055,-0.56779659,-0.26071054,2,low
Emberiza cirlus,-0.42217728,-0.33855945,-0.47522518,-0.31251344,-0.37340584,-0.48459449,-0.58265203,2,low
Graphosoma italicum,-0.52911347,-0.6994046,-0.50789499,-0.3947787,-0.69690675,-0.65931892,-0.58265203,2,low
Hippolais polyglotta,-0.46069753,-0.47650027,-0.43892536,-0.31251344,-0.41287234,-0.19338711,-0.58265203,2,low
Lanius senator,-0.52859074,-0.71962547,-0.51152498,-0.31251344,-0.83332103,-0.70300001,-0.58265203,2,low
Oedipoda caerulescens,-0.54278827,-0.56411719,-0.53330487,-0.80610502,-0.18256596,-0.33899081,-0.58265203,2,low
Otus scops,-0.53654134,-0.72866368,-0.51152498,-0.3947787,-0.70349973,-0.73940092,-0.58265203,2,low
Pieris rapae,-0.50017083,-0.617854,-0.44618532,-0.31251344,-0.42480725,-0.41179264,-0.37778017,2,low
Satyrium ilicis,-0.56475151,-0.42923194,-0.55871475,-1.0529008,0.046185642,-0.33899081,-0.58265203,2,low
Sylvia borin,-0.36537269,-0.13514246,-0.45344529,-0.31251344,-0.27427012,-0.26618895,-0.37778017,2,low
Thomisus onustus,-0.56132329,-0.36171168,-0.51878494,-1.0529008,-0.043837149,0.8622396,-0.58265203,2,low
Vespa crabro,-0.45314008,-0.26456663,-0.48248515,-0.55930924,0.74396724,-0.33899081,-0.58265203,2,low
Vulpes vulpes,-0.54795545,-0.75486934,-0.52241492,-0.47704396,-0.76118219,-0.69491094,-0.58265203,2,low
Acrocephalus palustris,-0.48793405,-0.43588758,-0.49337509,-0.55930924,-0.35508755,0.061419342,-0.58265203,2,low
Argiope bruennichi,-0.54039878,-0.65875852,-0.48974511,-0.6415745,-0.59001023,-0.2245879,-0.58265203,2,low
Camponotus vagus,-0.42406741,-0.12141667,-0.45344529,-0.55930924,0.45378619,-0.43909332,-0.30095321,2,low
Cetonia aurata,-0.52002209,-0.012985115,-0.54056484,-0.97063553,1.2366252,-0.60593086,-0.58265203,2,low
Chlidonias hybrida,-0.49462944,-0.31099802,-0.40625551,-0.72383976,-0.39391851,0.59529954,0.16854475,2,low
Chlidonias leucopterus,-0.51939124,-0.68668205,-0.51878494,-0.31251344,-0.86454779,-0.77580184,-0.58265203,2,low
Coccothraustes coccothraustes,-0.51774627,-0.62265062,-0.52604491,-0.47704396,-0.55077136,-0.69491094,-0.58265203,2,low
Coreus marginatus,-0.4886404,-0.43936542,-0.50426501,-0.55930924,0.14485106,-0.73940092,-0.58265203,2,low
Coturnix coturnix,-0.51848859,-0.53546405,-0.52604491,-0.6415745,-0.23256327,-0.4533937,-0.58265203,2,low
Curruca cantillans,-0.43099815,-0.24297398,-0.49337509,-0.47704396,-0.28046951,-0.42797083,-0.58265203,2,low
Curruca communis,-0.50819921,-0.61702144,-0.4715952,-0.3947787,-0.65552425,-0.49915487,-0.35729298,2,low
Curruca curruca,-0.52063853,-0.38961738,-0.50063503,-0.80610502,0.008221215,0.14150137,-0.58265203,2,low
Ematurga atomaria,-0.53343308,-0.49041507,-0.5478248,-0.80610502,0.16721404,-0.81948298,-0.58265203,2,low
Eobania vermiculata,-0.53177351,-0.47734073,-0.52241492,-0.80610502,-0.96432054,-0.33899081,-0.13193396,2,low
Episyrphus balteatus,-0.52127683,-0.63810319,-0.51878494,-0.47704396,-0.35262397,-0.78389096,-0.58265203,2,low
Eurydema ornata,-0.58432436,-0.68703264,-0.56597471,-1.135166,-1.1364309,0.46182948,-0.58265203,2,low
Gambusia holbrooki,-0.53180021,-0.47755089,-0.53693485,-0.80610502,-0.080399096,-0.81948298,-0.58265203,2,low
Gavia arctica,-0.54838389,-0.52464449,-0.54419482,-0.88837028,-0.33981052,-0.5391959,-0.58265203,2,low
Gulosus aristotelis,-0.52968651,-0.74178892,-0.48974511,-0.23024817,-0.85210866,-0.60593086,-0.58265203,2,low
Iphiclides podalirius,-0.47743353,-0.53643179,-0.4715952,-0.31251344,-0.066193543,-0.63019818,-0.58265203,2,low
Lacerta bilineata,-0.50026703,-0.66807932,-0.50789499,-0.14798291,-0.63710493,-0.95500642,-0.58265203,2,low
Lucanus cervus,-0.57201123,-0.57221526,-0.56234473,-1.0529008,-0.10751273,0.061419342,-0.58265203,2,low
Luscinia svecica,-0.48654607,-0.35571447,-0.51515496,-0.6415745,-0.45266986,-0.56779659,-0.58265203,2,low
