specie,a,aloc,intrado,interdo,e,tr,trmo,prevalence
Anax parthenope,-0.52407819,-0.41671535,-0.52967489,-0.80610502,0.094310082,-0.33899081,-0.58265203,0.2
Apus melba,-0.49684903,-0.47978368,-0.51152498,-0.55930924,-0.38683319,-0.63929838,-0.58265203,0.2
Calidris temminckii,-0.52571994,-0.65754974,-0.51515496,-0.47704396,-0.84628499,-0.78389096,-0.58265203,0.2
Chlidonias niger,-0.46388409,-0.52578735,-0.43529537,-0.23024817,-0.79925114,-0.47246084,-0.39485282,0.2
Halyomorpha halys,-0.50963682,-0.40952399,-0.51878494,-0.72383976,0.43888751,-0.60593086,-0.58265203,0.2
Larus fuscus,-0.47075394,-0.51251215,-0.47522518,-0.31251344,-0.74840289,-0.48459449,-0.58265203,0.2
Leptotes pirithous,-0.47636726,-0.56676441,-0.47522518,-0.23024817,-0.17855355,-0.73940092,-0.58265203,0.2
Lycaena phlaeas,-0.48083651,-0.58143502,-0.46796522,-0.23024817,-0.52586222,-0.67266589,-0.39485282,0.2
Macroglossum stellatarum,-0.54231137,-0.62403733,-0.52241492,-0.72383976,-0.45392859,-0.47246084,-0.58265203,0.2
Orthetrum coerulescens,-0.54204625,-0.55827147,-0.54419482,-0.80610502,-0.15946116,-0.81948298,-0.58265203,0.2
Amata phegea,-0.56388927,-0.41224909,-0.56234473,-1.0529008,0.10322277,0.061419342,-0.58265203,0.2
Ameles spallanzania,-0.58094108,-0.74809253,-0.55508476,-1.0529008,-0.80541539,0.061419342,-0.58265203,0.2
Anthus trivialis,-0.46303457,-0.10357277,-0.49337509,-0.72383976,-0.36791128,-0.20552075,-0.58265203,0.2
Celastrina argiolus,-0.3847743,-0.04066287,-0.43892536,-0.47704396,1.2326763,-0.69491094,-0.081854165,0.2
Corvus corax,-0.54579926,-0.6891486,-0.48974511,-0.6415745,-0.81330055,-0.56779659,-0.26071054,0.2
Emberiza cirlus,-0.42217728,-0.33855945,-0.47522518,-0.31251344,-0.37340584,-0.48459449,-0.58265203,0.2
Graphosoma italicum,-0.52911347,-0.6994046,-0.50789499,-0.3947787,-0.69690675,-0.65931892,-0.58265203,0.2
Hippolais polyglotta,-0.46069753,-0.47650027,-0.43892536,-0.31251344,-0.41287234,-0.19338711,-0.58265203,0.2
Lanius senator,-0.52859074,-0.71962547,-0.51152498,-0.31251344,-0.83332103,-0.70300001,-0.58265203,0.2
Oedipoda caerulescens,-0.54278827,-0.56411719,-0.53330487,-0.80610502,-0.18256596,-0.33899081,-0.58265203,0.2
Otus scops,-0.53654134,-0.72866368,-0.51152498,-0.3947787,-0.70349973,-0.73940092,-0.58265203,0.2
Pieris rapae,-0.50017083,-0.617854,-0.44618532,-0.31251344,-0.42480725,-0.41179264,-0.37778017,0.2
Satyrium ilicis,-0.56475151,-0.42923194,-0.55871475,-1.0529008,0.046185642,-0.33899081,-0.58265203,0.2
Sylvia borin,-0.36537269,-0.13514246,-0.45344529,-0.31251344,-0.27427012,-0.26618895,-0.37778017,0.2
Thomisus onustus,-0.56132329,-0.36171168,-0.51878494,-1.0529008,-0.043837149,0.8622396,-0.58265203,0.2
Vespa crabro,-0.45314008,-0.26456663,-0.48248515,-0.55930924,0.74396724,-0.33899081,-0.58265203,0.2
Vulpes vulpes,-0.54795545,-0.75486934,-0.52241492,-0.47704396,-0.76118219,-0.69491094,-0.58265203,0.2
